city_name,height_aware_score,n_scored,top_k,top_decile_overlap_pct,discordant_count_share_pct,height_aware_score_retained_by_area_top_pct,area_score_in_discordant_pct,spearman_area_vs_heightaware,median_height_area_top_m,median_height_aware_top_m,mean_height_area_top_m,mean_height_aware_top_m
Cabimas,height_area,91265,9127,79.32507943464446,20.67492056535554,88.38821740636831,13.722047980738022,0.922086129798871,4.02452373504639,4.56618595123291,4.275357804577779,4.904823515695223
Cabimas,low_mid_roof_area,91265,9127,99.96713049194696,0.0328695080530294,99.98127477855866,0.1854505257253071,0.9998065116480168,4.02452373504639,4.023841381073,4.275357804577779,4.270732127259827
San Carlos,height_area,30642,3065,72.43066884176183,27.56933115823817,84.36299927952456,18.27365009610029,0.9111459133307562,4.88496971130371,6.04857873916626,5.407487972263022,6.850863310096703
San Carlos,low_mid_roof_area,30642,3065,99.47797716150082,0.5220228384991843,99.7062932719612,1.4011806830392837,0.9947137888260577,4.88496971130371,4.8759937286377,5.407487972263022,5.341368897247081
Mehar Taluka,height_area,13876,1388,69.88472622478386,30.11527377521614,81.95861611082788,21.716507584089285,0.8437313609177417,3.3309495449066158,4.79761528968811,3.677989621397097,4.982791358180966
Mehar Taluka,low_mid_roof_area,13876,1388,99.85590778097982,0.1440922190201729,99.92202674913916,0.2578461387547392,0.9991487919857296,3.3309495449066158,3.325928568840025,3.677989621397097,3.658412036257836
Sahiwal,height_area,69430,6943,70.74751548322051,29.252484516779493,83.84955482693498,20.51702951841132,0.8752944465825223,2.58543848991394,3.71449327468872,2.9137574593846014,3.928087181665876
Sahiwal,low_mid_roof_area,69430,6943,100.0,0.0,100.0,0.0,0.9999999999999998,2.58543848991394,2.58543848991394,2.9137574593846014,2.9137574593846014
Mongo,height_area,13636,1364,68.47507331378299,31.524926686217007,83.12039237994,23.71600757254161,0.7464149752495064,1.805355489254,2.551785945892335,1.9653308362504769,2.651987068114742
Mongo,low_mid_roof_area,13636,1364,100.0,0.0,100.00000000000004,0.0,1.0,1.805355489254,1.805355489254,1.9653308362504769,1.9653308362504769
